"V1","V2","V3","V4"
-0.124948937760368,-0.9998,-0.00894166354307382,0
-0.123123889515066,-0.9998,-0.00729520392627464,0
-0.121138405560446,-0.9998,-0.00641989897057603,0
-0.11845383804368,-0.9998,-0.00492553283566078,0
-0.11765562089141,-0.9998,-0.00458240737100556,0
-0.116999468554329,-0.9998,-0.00412128657638329,0
-0.112445446753268,-0.9998,0.000144482351620628,0
-0.112178410008574,-0.9998,0.000426273667895079,0
-0.112079966182011,-0.9998,0.000565968589232724,0
-0.11203078850435,-0.9998,0.000678152463498222,0
-0.110923448097005,-0.9998,0.00329875792438664,0
-0.110208493712206,-0.9998,0.00505381554923009,0
-0.111645101199337,-0.9998,0.0052114026553269,0
-0.11173332986446,-0.9998,0.00646492432039601,0
-0.113856594395548,-0.9998,0.00544420484571508,0
-0.115963754259046,-0.9998,0.00560722413506075,0
-0.116242046006199,-0.9998,0.00545318244424826,0
-0.116457919754887,-0.9998,0.00538733094067179,0
-0.120297538121779,-0.9998,0.00290295964513694,0
-0.122940370077725,-0.9998,0.00223941570566385,0
-0.12364339186807,-0.9998,0.00151804812072203,0
-0.123957743661195,-0.9998,0.00165121970119846,0
-0.127798438929935,-0.9998,-0.0012621311049379,0
-0.12900190529441,-0.9998,-0.00167860068277906,0
-0.129732717528571,-0.9998,-0.00293959985951431,0
-0.131212918528178,-0.9998,-0.00492370772912912,0
-0.130727269404658,-0.9998,-0.00572368134362516,0
-0.131590065926506,-0.9998,-0.0082005148896233,0
-0.13085570377029,-0.9998,-0.00951784559597909,0
-0.130477883627606,-0.9998,-0.010094734250466,0
-0.130437922762655,-0.9998,-0.0101579832853602,0
-0.129937683584025,-0.9998,-0.0102707562750767,0
-0.128141109136218,-0.9998,-0.01039058837746,0
-0.126982982585657,-0.9998,-0.00975222289728105,0
-0.107190438389552,-0.978460869565217,-0.14475941470098,1
-0.107413965893168,-0.978460869565217,-0.145108289890851,1
-0.107681363287234,-0.978460869565217,-0.14558005753078,1
-0.108070600581041,-0.978460869565217,-0.146312287372749,1
-0.108301058239267,-0.978460869565217,-0.146912472639,1
-0.10860568359515,-0.978460869565217,-0.14761698995501,1
-0.108931564854137,-0.978460869565217,-0.148763342330836,1
-0.108980066901909,-0.978460869565217,-0.149031572047187,1
-0.108988176450303,-0.978460869565217,-0.149182346026165,1
-0.109078351332481,-0.978460869565217,-0.150517220055614,1
-0.108962468525008,-0.978460869565217,-0.151396655623121,1
-0.108877118253725,-0.978460869565217,-0.152038643947938,1
-0.108419762275345,-0.978460869565217,-0.153354131738257,1
-0.108267938644306,-0.978460869565217,-0.153623758129635,1
-0.10767851015912,-0.978460869565217,-0.154604413792693,1
-0.107451344707877,-0.978460869565217,-0.154940564300043,1
-0.106997020387732,-0.978460869565217,-0.155485093185756,1
-0.106378151062448,-0.978460869565217,-0.156194764602698,1
-0.106308668721828,-0.978460869565217,-0.156263129632359,1
-0.106233966786982,-0.978460869565217,-0.156340231928956,1
-0.104894034684267,-0.978460869565217,-0.15747026807981,1
-0.104480328622084,-0.978460869565217,-0.157765104865173,1
-0.103802651016296,-0.978460869565217,-0.15830514306218,1
-0.103419251550095,-0.978460869565217,-0.15860374042763,1
-0.103147560244255,-0.978460869565217,-0.158756855114123,1
-0.10220192847159,-0.978460869565217,-0.159230353351931,1
-0.10104239649338,-0.978460869565217,-0.159748663785525,1
-0.100629030251715,-0.978460869565217,-0.159882258679279,1
-0.0994855161359988,-0.978460869565217,-0.16010127887942,1
-0.0985792527061402,-0.978460869565217,-0.160220716394602,1
-0.098048630760531,-0.978460869565217,-0.160268351604673,1
-0.0973899545709584,-0.978460869565217,-0.160412890866234,1
-0.0965977879850794,-0.978460869565217,-0.160408099673649,1
-0.0958435909371939,-0.978460869565217,-0.160422811168438,1
-0.094347956107536,-0.978460869565217,-0.160409538047906,1
-0.0935819978120409,-0.978460869565217,-0.160188937632993,1
-0.0925933252024944,-0.978460869565217,-0.1600877388633,1
-0.0920444761918273,-0.978460869565217,-0.159940523498524,1
-0.0916714143048987,-0.978460869565217,-0.159870752022027,1
-0.0905016113421506,-0.978460869565217,-0.159337903257429,1
-0.0893841360892602,-0.978460869565217,-0.158986484465473,1
-0.0872897348040924,-0.978460869565217,-0.157899324165249,1
-0.0872683473411059,-0.978460869565217,-0.157887010524412,1
-0.0852768485875459,-0.978460869565217,-0.156594544327617,1
-0.0838468176295599,-0.978460869565217,-0.155516260012582,1
-0.0832899304403753,-0.978460869565217,-0.155112389120561,1
-0.0820840745824211,-0.978460869565217,-0.154018764919122,1
-0.0813582221195959,-0.978460869565217,-0.153375557007794,1
-0.0805637134453375,-0.978460869565217,-0.152493996684698,1
-0.0795271030816223,-0.978460869565217,-0.151371576123422,1
-0.0787110923653538,-0.978460869565217,-0.15023577034688,1
-0.0778477585769467,-0.978460869565217,-0.149097636889745,1
-0.0770671910109677,-0.978460869565217,-0.147883232737264,1
-0.0762872346321934,-0.978460869565217,-0.146637782552951,1
-0.0754997100295067,-0.978460869565217,-0.145438189192859,1
-0.0746743590787411,-0.978460869565217,-0.144112847701126,1
-0.0736952536409774,-0.978460869565217,-0.142712054802467,1
-0.072887623689833,-0.978460869565217,-0.141619674499747,1
-0.0717104532637251,-0.978460869565217,-0.140270977900454,1
-0.0708222152097686,-0.978460869565217,-0.139280928403911,1
-0.0697438056502008,-0.978460869565217,-0.138377440912941,1
-0.0684636582224079,-0.978460869565217,-0.137192626605148,1
-0.0663157674612182,-0.978460869565217,-0.13629858011491,1
-0.0648123365339296,-0.978460869565217,-0.135484100416897,1
-0.0637290433058697,-0.978460869565217,-0.136230598965156,1
-0.0614689044576264,-0.978460869565217,-0.138706443144857,1
-0.061537335537392,-0.978460869565217,-0.139126616666947,1
-0.0621645132268981,-0.978460869565217,-0.142463036053571,1
-0.0625116773572122,-0.978460869565217,-0.143353436265552,1
-0.0635332117008256,-0.978460869565217,-0.145351684885424,1
-0.0635499086207997,-0.978460869565217,-0.145388767433114,1
-0.0636676318013308,-0.978460869565217,-0.145637385569136,1
-0.0646910034612885,-0.978460869565217,-0.147860107107243,1
-0.0648490459294324,-0.978460869565217,-0.148163539055676,1
-0.0662930173140144,-0.978460869565217,-0.151001386754702,1
-0.0663607512445377,-0.978460869565217,-0.151130211647718,1
-0.066585257762488,-0.978460869565217,-0.151589967272361,1
-0.0677954405959766,-0.978460869565217,-0.154274810791617,1
-0.0684586914323579,-0.978460869565217,-0.155930075668521,1
-0.069037496175121,-0.978460869565217,-0.157501295094762,1
-0.0692580770411427,-0.978460869565217,-0.158078449060747,1
-0.069572665828202,-0.978460869565217,-0.159058170902828,1
-0.0700035174338822,-0.978460869565217,-0.160800244508935,1
-0.0703053350951677,-0.978460869565217,-0.162015438334978,1
-0.0705713085125591,-0.978460869565217,-0.163519113346878,1
-0.0706020479511455,-0.978460869565217,-0.163859966193643,1
-0.0705976512536436,-0.978460869565217,-0.164225054262697,1
-0.0705352867576812,-0.978460869565217,-0.16553651922083,1
-0.0703745240965524,-0.978460869565217,-0.166395284292979,1
-0.0701382360281665,-0.978460869565217,-0.167018034890516,1
-0.0695654011207618,-0.978460869565217,-0.168267170971909,1
-0.0695108783219105,-0.978460869565217,-0.168340337237016,1
-0.0692249772257438,-0.978460869565217,-0.168694697519445,1
-0.0684453745366969,-0.978460869565217,-0.169580747849824,1
-0.0682732234717112,-0.978460869565217,-0.169695822561282,1
-0.0671557665512727,-0.978460869565217,-0.170553311026328,1
-0.0668871905067709,-0.978460869565217,-0.170643335005618,1
-0.0656770413860876,-0.978460869565217,-0.171066047315655,1
-0.0651495878028436,-0.978460869565217,-0.171059435712851,1
-0.0642563711747305,-0.978460869565217,-0.170985399754353,1
-0.0639742018060135,-0.978460869565217,-0.170986560827019,1
-0.0629828444564395,-0.978460869565217,-0.170557826225083,1
-0.062017598108111,-0.978460869565217,-0.170176671470516,1
-0.061496814554513,-0.978460869565217,-0.169837230484555,1
-0.0597014065558836,-0.978460869565217,-0.168879897898675,1
-0.0585974771169953,-0.978460869565217,-0.168135125771774,1
-0.0576965689007488,-0.978460869565217,-0.167578814709324,1
-0.0567400249535865,-0.978460869565217,-0.166928732345488,1
-0.0558968272521271,-0.978460869565217,-0.166328078009716,1
-0.0532691343943765,-0.978460869565217,-0.165075906492331,1
-0.0521307158630111,-0.978460869565217,-0.16533177246515,1
-0.0512355064833191,-0.978460869565217,-0.165364314731771,1
-0.0510087804377002,-0.978460869565217,-0.165644138855811,1
-0.0510499007466955,-0.978460869565217,-0.165876823418098,1
-0.0510317423082233,-0.978460869565217,-0.166184800934127,1
-0.0507510538738436,-0.978460869565217,-0.168168309573401,1
-0.0505613791748768,-0.978460869565217,-0.170191650512519,1
-0.0504952533684253,-0.978460869565217,-0.170610763938116,1
-0.0502342099307128,-0.978460869565217,-0.17192870123831,1
-0.0501139374592343,-0.978460869565217,-0.172907727150176,1
-0.0499052093357765,-0.978460869565217,-0.1733679616607,1
-0.0496225855331834,-0.978460869565217,-0.174421055047624,1
-0.049504968621308,-0.978460869565217,-0.174724828150022,1
