"","sX","sY","sZ"
"1",0.0828399439088645,-1.00443144368779,0.366559412696407
"2",0.0730911574547167,-0.99684230211688,0.360799489677122
"3",0.0637958204266522,-0.989237039047667,0.354813547235171
"4",0.0549438221775401,-0.981616030140383,0.348613155661839
"5",0.0465250520602496,-0.973979651055256,0.342209885248412
"6",0.0385293994276497,-0.966328277452514,0.335615306286177
"7",0.0309467536326093,-0.958662284992385,0.328840989066419
"8",0.0237670040279975,-0.950982049335097,0.321898503880424
"9",0.0169800399666835,-0.943287946140879,0.314799421019479
"10",0.0105757508015362,-0.935580351069957,0.30755531077487
"11",0.0045440258854246,-0.927859639782561,0.300177743437882
"12",-0.00112524542878213,-0.920126187938919,0.292678289299801
"13",-0.00644217378821497,-0.912380371199258,0.285068518651913
"14",-0.0114168698400049,-0.904622565223807,0.277360001785506
"15",-0.0160594442312829,-0.896853145672793,0.269564308991863
"16",-0.0203800076091798,-0.889072488206445,0.261693010562272
"17",-0.0243886706208267,-0.881280968484991,0.253757676788019
"18",-0.0280955439133545,-0.873478962168659,0.245769877960389
"19",-0.0315107381338942,-0.865666844917677,0.237741184370669
"20",-0.0346443639295766,-0.857844992392273,0.229683166310144
"21",-0.0375065319475328,-0.850013780252675,0.221607394070101
"22",-0.0401073528348937,-0.842173584159112,0.213525437941825
"23",-0.0424569372387903,-0.83432477977181,0.205448868216603
"24",-0.0445653958063535,-0.826467742750999,0.19738925518572
"25",-0.0464428391847142,-0.818602848756907,0.189358169140463
"26",-0.0480993780210035,-0.810730473449761,0.181367180372118
"27",-0.0495451229623523,-0.80285099248979,0.17342785917197
"28",-0.0507901846558914,-0.794964781537221,0.165551775831306
"29",-0.051844673748752,-0.787072216252284,0.157750500641412
"30",-0.0527187008880649,-0.779173672295206,0.150035603893573
"31",-0.0534223767209611,-0.771269525326214,0.142418655879076
"32",-0.0539658118945715,-0.763360151005537,0.134911226889206
"33",-0.0543591170560271,-0.755445924993404,0.12752488721525
"34",-0.0546124028524589,-0.747527222950041,0.120271207148494
"35",-0.0547357799309978,-0.739604420535678,0.113161756980224
"36",-0.0547393589387747,-0.731677893410542,0.106208107001725
"37",-0.0546332505229206,-0.723748017234862,0.0994218275042845
"38",-0.0544275653305665,-0.715815167668865,0.0928144887791873
"39",-0.0541324140088434,-0.70787972037278,0.0863976611177199
"40",-0.0537579072048821,-0.699942051006835,0.0801829148111683
"41",-0.0533141555658136,-0.692002535231257,0.0741818201508184
"42",-0.0528112697387688,-0.684061548706275,0.0684059474279563
"43",-0.0522593603708789,-0.676119467092117,0.0628668669338681
"44",-0.0516685381092745,-0.668176666049011,0.0575761489598396
"45",-0.0510489136010869,-0.660233521237185,0.0525453637971569
"46",-0.0504105974934468,-0.652290408316868,0.0477860817371061
"47",-0.0497637004334853,-0.644347702948286,0.0433098730709732
"48",-0.0491183330683332,-0.636405780791669,0.0391283080900441
"49",-0.0484846060451216,-0.628465017507244,0.0352529570856049
"50",-0.0478726300109815,-0.62052578875524,0.0316953903489415
"51",-0.0472925156130436,-0.612588470195884,0.0284671781713401
"52",-0.0467543734984391,-0.604653437489405,0.0255798908440865
"53",-0.0462662967300783,-0.596720990569049,0.0230414900027543
"54",-0.0458283080339891,-0.588791126460133,0.0208455026600667
"55",-0.0454384125519792,-0.580863766460995,0.0189818471730344
"56",-0.0450946154258558,-0.57293883186997,0.0174404418986679
"57",-0.0447949217974265,-0.565016243985394,0.016211205193978
"58",-0.0445373368084986,-0.557095924105604,0.0152840554159754
"59",-0.0443198656008798,-0.549177793528936,0.0146489109216707
"60",-0.0441405133163773,-0.541261773553726,0.0142956900680745
"61",-0.0439972850967986,-0.53334778547831,0.0142143112121976
"62",-0.0438881860839513,-0.525435750601025,0.0143946927110505
"63",-0.0438112214196426,-0.517525590220206,0.014826752921644
"64",-0.0437643962456801,-0.50961722563419,0.0155004102009888
"65",-0.0437457157038713,-0.501710578141313,0.0164055829060954
"66",-0.0437531849360235,-0.493805569039912,0.0175321893939746
"67",-0.0437848090839443,-0.485902119628321,0.018870148021637
"68",-0.043838593289441,-0.478000151204879,0.0204093771460933
"69",-0.0439125426943211,-0.47009958506792,0.0221397951243541
"70",-0.0440046624403921,-0.462200342515781,0.0240513203134301
"71",-0.0441129576694614,-0.454302344846798,0.026133871070332
"72",-0.0442354335233364,-0.446405513359308,0.0283773657520705
"73",-0.0443700951438247,-0.438509769351646,0.0307717227156561
"74",-0.0445149476727335,-0.430615034122149,0.0333068603180996
"75",-0.0446679962518705,-0.422721228969153,0.0359726969164117
"76",-0.0448272460230431,-0.414828275190994,0.0387591508676029
"77",-0.0449907021280586,-0.406936094086008,0.041656140528684
"78",-0.0451563697087245,-0.399044606952532,0.0446535842566656
"79",-0.0453222539068483,-0.391153735088901,0.0477414004085585
"80",-0.0454863598642374,-0.383263399793453,0.0509095073413731
"81",-0.0456466927226993,-0.375373522364522,0.0541478234121203
"82",-0.0458012576240415,-0.367484024100446,0.0574462669778107
"83",-0.0459480597100713,-0.35959482629956,0.0607947563954549
"84",-0.0460851041225962,-0.351705850260201,0.0641832100220636
"85",-0.0462103960034236,-0.343817017280705,0.0676015462146475
"86",-0.0463219404943611,-0.335928248659408,0.0710396833302172
"87",-0.0464177427372161,-0.328039465694646,0.0744875397257835
"88",-0.0464958078737959,-0.320150589684755,0.0779350337583569
"89",-0.0465541410459081,-0.312261541928073,0.0813720837849482
"90",-0.04659074739536,-0.304372243722933,0.0847886081625679
"91",-0.0466036320639592,-0.296482616367674,0.0881745252482268
