"","sX","sY","sZ"
"1",0.0118948218351241,-1.00443144368714,-0.0197115715537052
"2",0.0128321213781932,-0.996842302116318,-0.00895141181883571
"3",0.0137159440254055,-0.989237039047189,0.00121047352327162
"4",0.0145476764085842,-0.981616030139984,0.0107886939298358
"5",0.0153287051595525,-0.973979651054931,0.0197978588580759
"6",0.0160604169101334,-0.966328277452258,0.0282525777652108
"7",0.0167441982921501,-0.958662284992192,0.0361674601084597
"8",0.0173814359374259,-0.950982049334964,0.0435571153450415
"9",0.0179735164777838,-0.9432879461408,0.0504361529321753
"10",0.018521826545047,-0.935580351069929,0.0568191823270802
"11",0.0190277527710386,-0.927859639782578,0.0627208129869749
"12",0.0194926817875818,-0.920126187938977,0.0681556543690788
"13",0.0199180002264997,-0.912380371199354,0.0731383159306107
"14",0.0203050947196156,-0.904622565223937,0.0776834071287897
"15",0.0206553518987524,-0.896853145672953,0.0818055374208348
"16",0.0209701583957335,-0.889072488206631,0.0855193162639651
"17",0.0212509008423819,-0.8812809684852,0.0888393531153994
"18",0.0214989658705208,-0.873478962168888,0.0917802574323571
"19",0.0217157401119733,-0.865666844917922,0.0943566386720568
"20",0.0219026101985626,-0.857844992392531,0.0965831062917178
"21",0.0220609627621119,-0.850013780252944,0.0984742697485591
"22",0.0221921844344442,-0.842173584159388,0.1000447384998
"23",0.0222976618473828,-0.834324779772092,0.101309122002658
"24",0.0223787816327508,-0.826467742751283,0.102282029714355
"25",0.0224369304223713,-0.818602848757191,0.102978071092107
"26",0.0224734948480675,-0.810730473450043,0.103411855593135
"27",0.0224898615416625,-0.802850992490067,0.103597992674657
"28",0.0224874171349795,-0.794964781537492,0.103551091793893
"29",0.0224675482598417,-0.787072216252547,0.103285762408061
"30",0.0224316415480722,-0.779173672295458,0.102816613974381
"31",0.0223810836314941,-0.771269525326455,0.102158255950071
"32",0.0223172611419306,-0.763360151005765,0.10132529779235
"33",0.0222415607112048,-0.755445924993618,0.100332348958438
"34",0.0221553689711399,-0.74752722295024,0.0991940189055538
"35",0.0220600725535591,-0.739604420535861,0.097924917090916
"36",0.0219570580902854,-0.731677893410707,0.0965396529717438
"37",0.0218477122131421,-0.723748017235009,0.0950528360052562
"38",0.0217334215539523,-0.715815167668994,0.0934790756486723
"39",0.0216155727445391,-0.707879720372889,0.091832981359211
"40",0.0214955524167257,-0.699942051006925,0.0901291625940914
"41",0.0213747472023353,-0.692002535231327,0.0883822288105326
"42",0.0212545437331909,-0.684061548706325,0.0866067894657535
"43",0.0211363286411158,-0.676119467092148,0.0848174540169731
"44",0.0210214885579331,-0.668176666049022,0.0830288319214105
"45",0.0209114101154659,-0.660233521237177,0.0812555326362848
"46",0.0208074799455375,-0.652290408316841,0.0795121656188149
"47",0.0207110846799708,-0.644347702948241,0.0778133403262198
"48",0.0206236109505892,-0.636405780791607,0.0761736662157186
"49",0.0205464453892156,-0.628465017507166,0.0746077527445303
"50",0.0204809746276734,-0.620525788755146,0.0731302093698739
"51",0.0204285852977857,-0.612588470195776,0.0717556455489685
"52",0.0203906640313755,-0.604653437489284,0.0704986707390331
"53",0.0203682181811726,-0.596720990568915,0.0693708234437971
"54",0.0203607379835333,-0.58879112645999,0.0683713583530323
"55",0.0203673343957201,-0.580863766460842,0.0674964592030209
"56",0.0203871183749958,-0.57293883186981,0.0667423097300449
"57",0.0204192008786233,-0.565016243985228,0.0661050936703865
"58",0.0204626928638651,-0.557095924105433,0.0655809947603279
"59",0.020516705287984,-0.549177793528761,0.0651661967361512
"60",0.0205803491082428,-0.541261773553548,0.0648568833341387
"61",0.0206527352819041,-0.53334778547813,0.0646492382905724
"62",0.0207329747662308,-0.525435750600844,0.0645394453417344
"63",0.0208201785184855,-0.517525590220025,0.0645236882239071
"64",0.020913457495931,-0.50961722563401,0.0645981506733725
"65",0.0210119226558299,-0.501710578141136,0.0647590164264127
"66",0.0211146849554451,-0.493805569039737,0.06500246921931
"67",0.0212208553520393,-0.48590211962815,0.0653246927883465
"68",0.0213295448028751,-0.478000151204712,0.0657218708698043
"69",0.0214398642652153,-0.470099585067758,0.0661901871999657
"70",0.0215509246963227,-0.462200342515625,0.0667258255151127
"71",0.02166183705346,-0.454302344846648,0.0673249695515275
"72",0.0217717122938898,-0.446405513359165,0.0679838030454923
"73",0.021879661374875,-0.438509769351511,0.0686985097332893
"74",0.0219847952536782,-0.430615034122022,0.0694652733512005
"75",0.0220862248875623,-0.422721228969034,0.0702802776355081
"76",0.0221830612337898,-0.414828275190884,0.0711397063224944
"77",0.0222744152496237,-0.406936094085907,0.0720397431484415
"78",0.0223593978923264,-0.399044606952441,0.0729765718496314
"79",0.0224371201191609,-0.39115373508882,0.0739463761623465
"80",0.0225066928873899,-0.383263399793381,0.0749453398228687
"81",0.022567227154276,-0.375373522364461,0.0759696465674804
"82",0.022617833877082,-0.367484024100395,0.0770154801324636
"83",0.0226576240130706,-0.359594826299519,0.0780790242541005
"84",0.0226857085195045,-0.351705850260171,0.0791564626686733
"85",0.0227011983536466,-0.343817017280685,0.0802439791124641
"86",0.0227032044727595,-0.335928248659398,0.081337757321755
"87",0.0226908378341059,-0.328039465694647,0.0824339810328284
"88",0.0226632093949486,-0.320150589684766,0.0835288339819662
"89",0.0226194301125503,-0.312261541928093,0.0846184999054506
"90",0.0225586109441737,-0.304372243722964,0.0856991625395638
"91",0.0224798628470816,-0.296482616367715,0.086767005620588
"92",0.0223822967785367,-0.288592581160681,0.0878182128848053
"93",0.0222650236958017,-0.280702059400199,0.0888489680684979
