"","sX","sY","sZ"
"1",-0.026185260812615,-1.00443144368779,-0.111184428685743
"2",-0.0279040596688433,-0.99684230211688,-0.0908019166210884
"3",-0.0295311938127184,-0.989237039047667,-0.0718147529328159
"4",-0.0310661895922932,-0.981616030140383,-0.0541863142636548
"5",-0.0325085733556207,-0.973979651055256,-0.0378799772563345
"6",-0.0338578714507539,-0.966328277452514,-0.0228591185535847
"7",-0.0351136102257456,-0.958662284992385,-0.00908711479813473
"8",-0.0362753160286487,-0.950982049335097,0.00347265736728584
"9",-0.0373425152075163,-0.943287946140879,0.0148568212999475
"10",-0.0383147341104012,-0.935580351069957,0.0251020003571207
"11",-0.0391914990853564,-0.927859639782561,0.0342448178960761
"12",-0.0399723364804348,-0.920126187938919,0.042321897274084
"13",-0.0406567726436893,-0.912380371199258,0.0493698618484151
"14",-0.0412443339231729,-0.904622565223807,0.0554253349763397
"15",-0.0417345466669385,-0.896853145672793,0.0605249400151284
"16",-0.042126937223039,-0.889072488206445,0.0647053003220518
"17",-0.0424210319395274,-0.881280968484991,0.0680030392543802
"18",-0.0426163571644565,-0.873478962168659,0.0704547801693842
"19",-0.0427124392458794,-0.865666844917677,0.0720971464243344
"20",-0.042708804531849,-0.857844992392273,0.0729667613765011
"21",-0.0426049793704181,-0.850013780252675,0.0731002483831549
"22",-0.0424004901096398,-0.842173584159112,0.0725342308015663
"23",-0.0420948630975669,-0.83432477977181,0.0713053319890058
"24",-0.0416876246822524,-0.826467742750999,0.0694501753027439
"25",-0.0411783012117492,-0.818602848756907,0.067005384100051
"26",-0.0405664190341103,-0.810730473449761,0.0640075817381978
"27",-0.0398515044973885,-0.80285099248979,0.0604933915744547
"28",-0.0390330839496369,-0.794964781537221,0.0564994369660921
"29",-0.0381106837389083,-0.787072216252284,0.0520623412703806
"30",-0.0370838302132556,-0.779173672295206,0.0472187278445908
"31",-0.0359520497207319,-0.771269525326214,0.042005220045993
"32",-0.03471486860939,-0.763360151005537,0.0364584412318578
"33",-0.0333718132272829,-0.755445924993404,0.0306150147594557
"34",-0.0319224099224635,-0.747527222950041,0.0245115639860571
"35",-0.0303661850429847,-0.739604420535678,0.0181847122689327
"36",-0.0287026649368994,-0.731677893410542,0.0116710829653528
"37",-0.0269313759522607,-0.723748017234862,0.00500729943258806
"38",-0.0250518444371214,-0.715815167668865,-0.00177001497209118
"39",-0.0230635967395345,-0.70787972037278,-0.00862423689141426
"40",-0.0209661592075528,-0.699942051006835,-0.0155187429681108
"41",-0.0187590581892294,-0.692002535231257,-0.0224169098449102
"42",-0.0164418200326171,-0.684061548706275,-0.0292821141645421
"43",-0.0140139710857689,-0.676119467092117,-0.0360777325697359
"44",-0.0114750376967377,-0.668176666049011,-0.0427671417032211
"45",-0.00882454621357653,-0.660233521237185,-0.0493137182077272
"46",-0.00606202298433817,-0.652290408316868,-0.0556808387259838
"47",-0.00318699435707564,-0.644347702948286,-0.0618318799007202
"48",-0.000198986679841848,-0.636405780791669,-0.0677302183746661
"49",0.00290247369931026,-0.628465017507244,-0.0733392307905509
"50",0.00611786043232777,-0.62052578875524,-0.0786222937911042
"51",0.00944764717115771,-0.612588470195884,-0.0835427840190554
"52",0.0128923075677472,-0.604653437489405,-0.0880640781171339
"53",0.016451494783697,-0.596720990569049,-0.0921577490791306
"54",0.0201215800192224,-0.588791126460133,-0.0958281553030804
"55",0.0238981139841926,-0.580863766460995,-0.0990878515380797
"56",0.0277766473884767,-0.57293883186997,-0.101949392533225
"57",0.0317527309419436,-0.565016243985394,-0.104425333037612
"58",0.0358219153544626,-0.557095924105604,-0.106528227800337
"59",0.0399797513359026,-0.549177793528936,-0.108270631570497
"60",0.0442217895961328,-0.541261773553726,-0.109665099097188
"61",0.0485435808450223,-0.53334778547831,-0.110724185129506
"62",0.0529406757924401,-0.525435750601025,-0.111460444416548
"63",0.0574086251482553,-0.517525590220206,-0.111886431707409
"64",0.0619429796223369,-0.50961722563419,-0.112014701751186
"65",0.0665392899245542,-0.501710578141313,-0.111857809296976
"66",0.071193106764776,-0.493805569039912,-0.111428309093874
"67",0.0758999808528717,-0.485902119628321,-0.110738755890976
"68",0.0806554628987101,-0.478000151204879,-0.10980170443738
"69",0.0854551036121605,-0.47009958506792,-0.108629709482182
"70",0.0902944537030917,-0.462200342515781,-0.107235325774476
"71",0.0951690638813731,-0.454302344846798,-0.105631108063361
"72",0.100074484856874,-0.446405513359308,-0.103829611097932
"73",0.105006267339462,-0.438509769351646,-0.101843389627286
"74",0.109959962039008,-0.430615034122149,-0.0996849984005183
"75",0.114931119665381,-0.422721228969153,-0.0973669921667256
"76",0.119915290928449,-0.414828275190994,-0.0949019256750043
"77",0.124908026538081,-0.406936094086008,-0.0923023536744505
"78",0.129904877204147,-0.399044606952532,-0.0895808309141607
"79",0.134901393636516,-0.391153735088901,-0.086749912143231
"80",0.139893126545056,-0.383263399793453,-0.0838221521107577
"81",0.144875626639637,-0.375373522364522,-0.0808101055658372
"82",0.149844444630129,-0.367484024100446,-0.0777263272575656
"83",0.154795131226399,-0.35959482629956,-0.0745833719350393
"84",0.159723237138317,-0.351705850260201,-0.0713937943473545
"85",0.164624313075753,-0.343817017280705,-0.0681701492436076
"86",0.169493909748575,-0.335928248659408,-0.0649249913728948
"87",0.174327577866652,-0.328039465694646,-0.0616708754843123
"88",0.179120868139854,-0.320150589684755,-0.0584203563269565
"89",0.183869331278049,-0.312261541928073,-0.0551859886499237
"90",0.188568517991107,-0.304372243722933,-0.0519803272023101
